r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Z Velocity[A/fs],  -0.005808,   0.007863,   0.003826,  -0.045990,  
Speed[A/fs],   0.212174,   0.199434,   0.697493,   0.687876,  
 
r_seed=43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.204829,   0.205730,  -0.691390,   0.692112,  
Y Velocity[A/fs],  -0.010012,  -0.000498,  -0.035944,   0.022897, 
Z Velocity[A/fs],  -0.015174,   0.008892,   0.031587,   0.032085,  
Speed[A/fs],   0.205634,   0.205923,   0.693044,   0.693233,  
 
r_seed=44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210760,   0.201707,  -0.694751,   0.685266,  
Y Velocity[A/fs],  -0.006712,  -0.005833,  -0.024199,  -0.005756, 
Z Velocity[A/fs],   0.003431,   0.001950,  -0.030184,  -0.031099,  
Speed[A/fs],   0.210894,   0.201801,   0.695827,   0.685996,  
 
r_seed=45,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207338,   0.203443,  -0.692148,   0.689591,  
Y Velocity[A/fs],  -0.005525,   0.008993,  -0.045834,   0.055867, 
Z Velocity[A/fs],  -0.007738,   0.004378,   0.036063,   0.034709,  
Speed[A/fs],   0.207555,   0.203689,   0.694601,   0.692720,  
 
r_seed=46,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.214167,   0.197363,  -0.699343,   0.682635,  
Y Velocity[A/fs],  -0.002219,   0.001778,  -0.005313,  -0.021984, 
Z Velocity[A/fs],  -0.010457,   0.009745,  -0.034000,   0.003903,  
Speed[A/fs],   0.214434,   0.197611,   0.700190,   0.683000,  
 
r_seed=47,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209083,   0.202115,  -0.698956,   0.684392,  
Y Velocity[A/fs],   0.002777,  -0.010258,  -0.005268,   0.055693, 
Z Velocity[A/fs],   0.001926,   0.004455,   0.003214,  -0.025957,  
Speed[A/fs],   0.209110,   0.202424,   0.698983,   0.687145,  
 
r_seed=48,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208240,   0.203369,  -0.690790,   0.688130,  
Y Velocity[A/fs],  -0.002940,   0.013732,   0.008551,  -0.046688, 
Z Velocity[A/fs],  -0.010781,   0.006570,   0.046226,   0.033917,  
Speed[A/fs],   0.208539,   0.203938,   0.692388,   0.690545,  
 
r_seed=49,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211253,   0.199436,  -0.699088,   0.686910,  
Y Velocity[A/fs],   0.004137,   0.003107,  -0.000593,   0.019523, 
Z Velocity[A/fs],   0.013855,  -0.001616,  -0.023587,  -0.011736,  
Speed[A/fs],   0.211748,   0.199466,   0.699486,   0.687288,  
 
r_seed=50,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207860,   0.203547,  -0.693784,   0.687679,  
Y Velocity[A/fs],   0.014327,  -0.004411,   0.014552,  -0.045427, 
Z Velocity[A/fs],   0.000284,   0.005446,   0.012514,  -0.042649,  
Speed[A/fs],   0.208353,   0.203668,   0.694049,   0.690496,  
 
r_seed=51,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210490,   0.201145,  -0.697130,   0.685208,  
Y Velocity[A/fs],   0.005700,  -0.007322,   0.025529,   0.008022, 
Z Velocity[A/fs],  -0.004150,   0.002498,  -0.045317,   0.019921,  
Speed[A/fs],   0.210608,   0.201293,   0.699068,   0.685544,  
 
r_seed=52,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
