193397       C2H2_10r44           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193398       C2H2_10r45           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193399       C2H2_10r46           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193400       C2H2_10r47           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193401       C2H2_10r48           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193364       C2H2_10r11           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac017
193365       C2H2_10r12           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac017
193366       C2H2_10r13           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac017
193367       C2H2_10r14           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac017
193368       C2H2_10r15           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac017
193671       C2H6_11r5            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193369       C2H2_10r16           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac109
193370       C2H2_10r17           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac110
193371       C2H2_10r18           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac110
193372       C2H2_10r19           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac110
193373       C2H2_10r20           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac110
193374       C2H2_10r21           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac110
193375       C2H2_10r22           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac110
193376       C2H2_10r23           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac014
193377       C2H2_10r24           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac014
193378       C2H2_10r25           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac014
193379       C2H2_10r26           u.st199789               cpu                    1      1     RUNNING      18:02:41     6-05:57:19   2024-07-01T10:05  None                     ac014
