C2H2_14r176, C[0], C[1], H[2], H[3], 
Z Velocity[A/fs],0.0050771, 0.0043987, -0.0853626, 0.0836032,  
Speed[A/fs],0.161899, 0.167392, 0.810989, 0.812408, 

C2H2_14r116, C[0], C[1], H[2], H[3], 
Densities, 2.143566000079831, 1.68155225736906, 0.0004438313555150533, 0.0001094052773971453, 
Time[fs], 68.000000, 65.000000, 26.500000, 26.500000, 
Density Sum, 3.825671494081803
X Velocity[A/fs], -0.144073, 0.151867, -0.774926, 0.797399,  
Y Velocity[A/fs],-0.00398057, 0.000692581, -0.0618735, -3.91634e-05,  
Z Velocity[A/fs],0.00547758, 0.0107142, -0.0734749, 0.0982101,  
Speed[A/fs],0.144232, 0.152246, 0.780857, 0.803424, 

C2H2_14r125, C[0], C[1], H[2], H[3], 
Densities, 1.962028203616962, 1.734526551220922, 0.0009161216194011221, 5.993971066383272e-05, 
Time[fs], 62.000000, 65.000000, 26.500000, 26.500000, 
Density Sum, 3.697530816167948
X Velocity[A/fs], -0.164699, 0.153389, -0.802816, 0.794205,  
Y Velocity[A/fs],0.00219694, 0.00940675, -0.0188843, 0.0673811,  
Z Velocity[A/fs],-0.00267648, -0.00110081, 0.0483489, 0.0413226,  
Speed[A/fs],0.164736, 0.153682, 0.804492, 0.798128, 

C2H2_14r103, C[0], C[1], H[2], H[3], 
Densities, 1.925754534839283, 1.717483840495887, 0.0008042116731999154, 0.0001058428096589588, 
Time[fs], 62.500000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.64414842981803
X Velocity[A/fs], -0.160729, 0.164012, -0.794733, 0.807429,  
Y Velocity[A/fs],-0.00399712, -0.000567459, -0.0925887, 0.102088,  
Z Velocity[A/fs],-0.00298207, -0.00124666, -0.090738, 0.0848994,  
Speed[A/fs],0.160807, 0.164018, 0.805237, 0.818274, 

C2H2_14r6, C[0], C[1], H[2], H[3], 
Densities, 1.431668331545695, 2.182991668682604, 0.0007706584700843559, 5.746754121572106e-05, 
Time[fs], 61.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.6154881262396
