r5, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Time[fs], 120.000000, 120.000000, 
Density Sum, 20.27758611864856
X Velocity[A/fs], -0.00378182, 0.0707623,  
Y Velocity[A/fs],-0.00791889, 0.154501,  
Z Velocity[A/fs],-0.000296586, -0.0706451,  
Speed[A/fs],0.00878061, 0.184034, 

r21, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.42007649635055, 
Time[fs], 120.000000, 
Density Sum, 20.42007649635055
X Velocity[A/fs], 0.00116377,  
Y Velocity[A/fs],-0.00287312,  
Z Velocity[A/fs],0.0064057,  
Speed[A/fs],0.00711633, 

r38, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.49085382002026, 
Time[fs], 120.000000, 
Density Sum, 20.49085382002026
X Velocity[A/fs], 0.00996578,  
Y Velocity[A/fs],-0.00119743,  
Z Velocity[A/fs],0.000573379,  
Speed[A/fs],0.0100538, 

r17, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.54118896323565, 
Time[fs], 120.000000, 
Density Sum, 20.54118896323565
X Velocity[A/fs], -0.00232771,  
Y Velocity[A/fs],-0.00479742,  
Z Velocity[A/fs],-0.00277092,  
Speed[A/fs],0.00600928, 

r40, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.47297067856276, 
Time[fs], 120.000000, 
Density Sum, 20.47297067856276
X Velocity[A/fs], -0.00931309,  
Y Velocity[A/fs],-0.00122719,  
Z Velocity[A/fs],0.00068929,  
Speed[A/fs],0.00941885, 

r15, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.42449699200786, 
Time[fs], 120.000000, 
Density Sum, 20.42449699200786
X Velocity[A/fs], 0.000725292,  
Y Velocity[A/fs],0.00120895,  
Z Velocity[A/fs],-0.00270685,  
Speed[A/fs],0.00305199, 

r14, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.46712831420135, 
Time[fs], 120.000000, 
Density Sum, 20.46712831420135
X Velocity[A/fs], 0.010816,  
Y Velocity[A/fs],-0.00385434,  
Z Velocity[A/fs],0.00330508,  
Speed[A/fs],0.0119485, 

r45, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.39480349939081, 
Time[fs], 120.000000, 
Density Sum, 20.39480349939081
X Velocity[A/fs], 4.47856e-06,  
Y Velocity[A/fs],-0.00598608,  
Z Velocity[A/fs],-0.00735759,  
Speed[A/fs],0.00948511, 

r25, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.48647601516764, 
Time[fs], 120.000000, 
Density Sum, 20.48647601516764
X Velocity[A/fs], -0.00506023,  
Y Velocity[A/fs],-0.00487706,  
Z Velocity[A/fs],0.00912562,  
Speed[A/fs],0.0115182, 

r8, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.45748873038999, 
Time[fs], 120.000000, 
Density Sum, 20.45748873038999
X Velocity[A/fs], 0.00101095,  
Y Velocity[A/fs],0.00203977,  
Z Velocity[A/fs],-0.00468374,  
Speed[A/fs],0.0052077, 

r12, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.58514795525236, 
Time[fs], 120.000000, 
Density Sum, 20.58514795525236
X Velocity[A/fs], -0.000349198,  
Y Velocity[A/fs],-0.0037112,  
Z Velocity[A/fs],0.00433521,  
Speed[A/fs],0.00571742, 

r46, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.55285908165746, 
Time[fs], 120.000000, 
Density Sum, 20.55285908165746
X Velocity[A/fs], -0.00982229,  
Y Velocity[A/fs],0.00925721,  
Z Velocity[A/fs],-0.00415283,  
Speed[A/fs],0.0141216, 

