C2H6_10_5r3, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.43313066208686, 0.3678854486707762, 0.2188136539590856, 0.3754261894984284, 0.2032455855650362, 0.5319439268701521, 0.2630352183933896, 
Time[fs], 108.500000, 41.500000, 48.000000, 72.000000, 42.500000, 42.000000, 63.000000, 
Density Sum, 9.393480685043727
X Velocity[A/fs], -0.00215333, 0.345195, -0.27886, -0.0132545, -0.331966, 0.33271, -0.0122899,  
Y Velocity[A/fs],-0.00278883, 0.187145, 0.26775, 0.0891459, -0.220191, -0.190574, -0.193167,  
Z Velocity[A/fs],-0.00866867, 0.232442, 0.225166, -0.163995, -0.29128, -0.199152, 0.175241,  
Speed[A/fs],0.00935736, 0.456303, 0.447385, 0.187128, 0.493487, 0.432061, 0.261102, 

C2H6_10_5r12, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.193826157733229, 0.248601574625349, 0.3006170829209402, 0.529351538080344, 0.4049223351274404, 0.2051959063437535, 0.4097663331695749, 
Time[fs], 120.000000, 37.000000, 48.000000, 81.000000, 38.000000, 44.000000, 58.000000, 
Density Sum, 9.292280928000631
X Velocity[A/fs], 0.00226634, 0.428936, -0.270509, 0.00240491, -0.400573, 0.26754, -0.00253693,  
Y Velocity[A/fs],0.000136213, 0.207029, 0.24844, 0.108464, -0.191413, -0.209575, -0.219946,  
Z Velocity[A/fs],-0.00532896, 0.205134, 0.222147, -0.165186, -0.21469, -0.302736, 0.17866,  
Speed[A/fs],0.00579247, 0.518582, 0.42924, 0.197628, 0.493142, 0.455136, 0.283376, 

C2H6_10_5r23, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.098139191207251, 0.2346083114043773, 0.5597995446407118, 0.3718697660910735, 0.3634885801251834, 0.1816009369940906, 0.2846333676388876, 
Time[fs], 73.500000, 45.500000, 37.000000, 51.000000, 42.500000, 37.500000, 52.500000, 
Density Sum, 9.094139698101575
X Velocity[A/fs], 0.00177172, 0.299462, -0.390747, 0.000434146, -0.316265, 0.41826, -0.0111153,  
Y Velocity[A/fs],-0.00642437, 0.223652, 0.149595, 0.256941, -0.209676, -0.177535, -0.245047,  
Z Velocity[A/fs],0.0194368, 0.261125, 0.212285, -0.170805, -0.214141, -0.243063, 0.208643,  
Speed[A/fs],0.0205476, 0.455943, 0.469177, 0.308534, 0.435711, 0.515306, 0.32203, 

C2H6_10_5r25, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.428973651800168, 0.1460070696709062, 0.3603303504340959, 0.293781453757911, 0.3099699711390431, 0.2776646569293866, 0.3733403527305784, 
Time[fs], 76.000000, 42.500000, 38.000000, 48.500000, 45.500000, 37.000000, 73.500000, 
Density Sum, 9.190067506462089
X Velocity[A/fs], 0.00154184, 0.335441, -0.38399, -0.0194549, -0.277269, 0.409489, 0.011293,  
Y Velocity[A/fs],0.00189688, 0.187989, 0.176021, 0.264553, -0.261857, -0.127473, -0.134616,  
