C4H10_14r3, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Y Velocity[A/fs],-0.112112, 0.110311, 0.131465, -0.128853, -0.881032, -0.112387, -0.118892, 0.101897, 0.759505, 0.747319, 0.301828, -0.793586, -0.333479, -0.0514897,  
Z Velocity[A/fs],0.0740567, -0.128394, 0.0900068, -0.0197747, -0.224274, 0.779239, -0.164317, -0.942407, 0.0889819, -0.178256, 0.889984, 0.462614, -0.764191, 0.168531,  
Speed[A/fs],0.185824, 0.195651, 0.182741, 0.195284, 0.940567, 0.939526, 0.942425, 0.952912, 0.948118, 0.95545, 0.946276, 0.953048, 0.939811, 0.938683, 

C4H10_14r16, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.074205065560833, 2.103760411000025, 2.415851543590222, 2.076924027730279, 0.001693199490160378, 0.006062239811394919, 0.05629460924109319, 0.0008149224653962525, 0.0001695246481385094, 0.0004127720688382356, 0.004185914207330753, 0.002677553063445137, 0.0003627257590551131, 9.668149034110097e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 29.500000, 26.500000, 28.000000, 28.500000, 30.000000, 28.000000, 28.500000, 29.500000, 27.000000, 
Density Sum, 8.743511190126554
X Velocity[A/fs], -0.149301, -0.089871, 0.0945757, 0.13615, -0.233495, -0.478468, -0.93462, -0.0991951, -0.521551, 0.637828, 0.229726, 0.157454, 0.472687, 0.913947,  
Y Velocity[A/fs],-0.128177, 0.134896, 0.134245, -0.124199, -0.847721, -0.218672, -0.0294066, 0.23413, 0.79189, 0.682378, 0.170038, -0.843432, -0.22044, -0.183865,  
Z Velocity[A/fs],0.00843673, -0.0962775, 0.106726, 0.0054669, -0.362635, 0.774268, -0.194357, -0.908598, 0.124022, -0.14799, 0.907671, 0.376085, -0.76492, 0.157094,  
Speed[A/fs],0.196955, 0.188529, 0.195848, 0.184369, 0.951134, 0.936077, 0.955067, 0.943507, 0.956288, 0.945709, 0.951606, 0.936808, 0.925813, 0.945402, 

C4H10_14r17, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.933159329637942, 2.280743112586901, 2.195296264547955, 2.468416028975394, 0.00145460766549989, 0.002200910085616214, 0.001696521847375575, 0.0005512602570190678, 0.004316550963314869, 0.0003059637603325235, 0.003891671062791622, 0.002413082717642718, 0.0003933130392340563, 3.981023904505721e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 30.000000, 27.500000, 28.000000, 29.000000, 30.000000, 28.000000, 29.000000, 30.000000, 27.000000, 
Density Sum, 8.894878427386065
X Velocity[A/fs], -0.153208, -0.089349, 0.0810447, 0.141765, -0.142469, -0.522375, -0.892085, -0.0892979, -0.542466, 0.624857, 0.129637, 0.221235, 0.459425, 0.910237,  
Y Velocity[A/fs],-0.124735, 0.127518, 0.12892, -0.107304, -0.858284, -0.266232, -0.0927626, 0.309462, 0.756108, 0.668562, 0.224695, -0.783597, -0.244078, -0.123016,  
Z Velocity[A/fs],0.0162292, -0.104215, 0.117414, -0.0156112, -0.345666, 0.731392, -0.312226, -0.886916, 0.208098, -0.202784, 0.914532, 0.465957, -0.760176, 0.18929,  
Speed[A/fs],0.19823, 0.187363, 0.192288, 0.17848, 0.936181, 0.937384, 0.949687, 0.943589, 0.953558, 0.937306, 0.950612, 0.938129, 0.921147, 0.937814, 

C4H10_14r10, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.063616758249515, 2.164220530847765, 2.711533446991445, 2.108711207985989, 0.0002620258006315927, 0.001344458365859651, 0.01207122731448936, 0.001266624941678407, 0.001199457628733561, 0.002253544337895193, 0.001290071587647469, 0.003134335997623019, 8.084581317697097e-05, 3.008780467997249e-05, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.000000, 29.000000, 27.000000, 27.500000, 29.000000, 28.000000, 28.000000, 28.000000, 30.000000, 27.000000, 
Density Sum, 9.07101462366713
X Velocity[A/fs], -0.121831, -0.0899061, 0.0745996, 0.142303, -0.26929, -0.517132, -0.897499, -0.168912, -0.52866, 0.499713, 0.148228, 0.220038, 0.528739, 0.896477,  
Y Velocity[A/fs],-0.0956993, 0.109409, 0.119201, -0.12057, -0.840352, -0.0587365, -0.137271, 0.15493, 0.760829, 0.800858, 0.157786, -0.855287, -0.118904, -0.079099,  
Z Velocity[A/fs],0.0699995, -0.128658, 0.0911561, -0.00763805, -0.249259, 0.776206, -0.211217, -0.919582, 0.17584, -0.0763261, 0.919809, 0.306534, -0.732747, 0.218922,  
Speed[A/fs],0.170003, 0.191328, 0.167581, 0.18667, 0.916972, 0.934544, 0.93218, 0.947716, 0.943007, 0.947054, 0.944943, 0.934823, 0.911384, 0.926205, 

C4H10_14r5, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.629270318280848, 2.771234352531813, 2.129921130828537, 1.911591052042458, 0.0005456378847476978, 0.002447371339141174, 0.04927385007047446, 0.002809156543878928, 0.000115705475202792, 0.001753090857044314, 0.001963381818058085, 0.001743066373310987, 0.002786391484174651, 0.0003133293988453361, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 29.000000, 26.500000, 27.500000, 28.500000, 28.500000, 28.000000, 29.000000, 28.500000, 26.500000, 
Density Sum, 8.505767834928537
X Velocity[A/fs], -0.133963, -0.0900055, 0.0948183, 0.136556, -0.204825, -0.518472, -0.915874, -0.169039, -0.521683, 0.52178, 0.177848, 0.370482, 0.376643, 0.926479,  
Y Velocity[A/fs],-0.116654, 0.117711, 0.125915, -0.110462, -0.888731, -0.184226, -0.084043, 0.189447, 0.773659, 0.778811, 0.173463, -0.762002, -0.216348, -0.0386151,  
Z Velocity[A/fs],0.0708381, -0.114981, 0.12282, -0.078641, -0.24658, 0.762637, -0.209999, -0.926221, 0.151492, -0.188725, 0.922145, 0.383628, -0.842252, 0.0825998,  
Speed[A/fs],0.191239, 0.187557, 0.199825, 0.192441, 0.944774, 0.940409, 0.943392, 0.96039, 0.945332, 0.956252, 0.955024, 0.930094, 0.947657, 0.930955, 

C4H10_14r9, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.181083581173453, 2.40528898484858, 2.064306519856613, 2.105771831842212, 0.001219060793841971, 0.0003285347497490457, 0.0001222783041995336, 0.001088652942840761, 0.006522862141846788, 0.0007911371360252639, 0.004325444032466476, 0.00626635379034419, 0.007736702705273424, 0.000174427510215281, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 31.000000, 28.000000, 28.500000, 29.000000, 29.000000, 28.000000, 28.500000, 28.000000, 26.500000, 
Density Sum, 8.785026371827659
