C4H10_7_5_low_r15, C4H5[0][1][4][5][2][7][3][11][12], H[6], H[8], H[9], H[10], H[13], 
Speed[A/fs],0.0110064, 0.35024, 0.0450452, 0.254954, 0.252167, 0.0447834, 0.398804, 

C4H10_7_5_low_r10, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.54681243063373, 0.5320751659253601, 0.7668059913107872, 0.2848243276758298, 0.3567015304606191, 0.7139851400028434, 0.3656125270775737, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.56681711308674
X Velocity[A/fs], 0.00084572, -0.292362, -0.02834, -0.126932, 0.0877272, 0.0317183, 0.313099,  
Y Velocity[A/fs],-0.00848752, -0.0580027, 0.00520848, 0.153289, 0.103525, 0.0119747, -0.0610378,  
Z Velocity[A/fs],0.000134718, -0.097586, 0.0514017, -0.00876831, 0.0149879, -0.0429525, 0.0993151,  
Speed[A/fs],0.00853062, 0.313629, 0.0589272, 0.199214, 0.136521, 0.0547208, 0.334096, 

C4H10_7_5_low_r2, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.50596077421304, 0.5577453608398911, 0.7020913544100282, 0.408084439445751, 0.2451526236089157, 0.7440201301897987, 0.3107748849371096, 
Time[fs], 46.500000, 43.500000, 46.500000, 46.500000, 46.500000, 46.500000, 42.000000, 
Density Sum, 20.47382956764454
X Velocity[A/fs], -0.00135424, -0.327114, -0.0306569, -0.177471, 0.153222, 0.0214219, 0.379382,  
Y Velocity[A/fs],-0.0100145, -0.058682, 0.00693104, 0.206724, 0.189839, -0.00217944, -0.0715617,  
Z Velocity[A/fs],0.000680219, -0.105174, 0.0333583, 0.000196215, -0.000926102, -0.0235732, 0.119874,  
Speed[A/fs],0.0101285, 0.348581, 0.0458329, 0.272453, 0.243961, 0.0319271, 0.404254, 

