   30000   1.00000000E-03   1.00000000E-02
  1.80000000E-01 -5.75501699E-05 -4.67498139E-06  3.30561207E-03
  1.81000000E-01 -2.60449567E-05 -2.11827395E-06  3.31165899E-03
  1.82000000E-01  5.66469235E-06  4.54956926E-07  3.31743419E-03
  1.83000000E-01  3.75020033E-05  3.03848576E-06  3.32295788E-03
  1.84000000E-01  6.93278348E-05  5.62102455E-06  3.32826668E-03
  1.85000000E-01 -6.57321595E-05 -5.34597538E-06  3.37728665E-03
  1.86000000E-01 -3.40464875E-05 -2.77492949E-06  3.38219667E-03
  1.87000000E-01 -2.15986952E-06 -1.87649294E-07  3.38683609E-03
  1.88000000E-01  2.98503655E-05  2.40959487E-06  3.39122532E-03
  1.89000000E-01  6.18446728E-05  5.00548229E-06  3.39540114E-03
  1.90000000E-01 -7.30505389E-05 -5.94847474E-06  3.44328879E-03
  1.91000000E-01 -4.12059960E-05 -3.36487053E-06  3.44706915E-03
  1.92000000E-01 -9.16537097E-06 -7.65430556E-07  3.45058068E-03
  1.93000000E-01  2.29939328E-05  1.84357035E-06  3.45384384E-03
  1.94000000E-01  5.51322403E-05  4.45080268E-06  3.45689540E-03
  1.95000000E-01 -7.96233059E-05 -6.49216017E-06  3.50365959E-03
  1.96000000E-01 -4.76458232E-05 -3.89810248E-06  3.50631910E-03
  1.97000000E-01 -1.54784310E-05 -1.28870156E-06  3.50871133E-03
  1.98000000E-01  1.68009342E-05  1.32972655E-06  3.51085662E-03
  1.99000000E-01  4.90521391E-05  3.94581682E-06  3.51279173E-03
  2.00000000E-01 -8.55970248E-05 -6.98880377E-06  3.55844001E-03
  2.01000000E-01 -5.35216976E-05 -4.38708488E-06  3.55998624E-03
  2.02000000E-01 -2.12638648E-05 -1.77061484E-06  3.56126722E-03
  2.03000000E-01  1.10988611E-05  8.54314582E-07  3.56230376E-03
  2.04000000E-01  4.34267797E-05  3.47637063E-06  3.56313314E-03
  2.05000000E-01 -9.11509702E-05 -7.45271359E-06  3.60767837E-03
  2.06000000E-01 -5.90111333E-05 -4.84603018E-06  3.60812662E-03
  2.07000000E-01 -2.66946069E-05 -2.22509165E-06  3.60831420E-03
  2.08000000E-01  5.72097694E-06  4.03808147E-07  3.60826226E-03
