C4H10_7_5z_r5, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 20.9007679891808, 0.4523273805778329, 0.2420983109839521, 
Time[fs], 60.000000, 46.000000, 45.000000, 
Density Sum, 21.59519368074258
X Velocity[A/fs], 0.00646281, -0.0465355, 0.0683459,  
Y Velocity[A/fs],0.00543891, 0.155253, 0.13332,  
Z Velocity[A/fs],0.00565465, -0.341604, 0.388294,  
Speed[A/fs],0.0101649, 0.378104, 0.416194, 

C4H10_7_5z_r12, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.47199965293803, 0.1272331934643703, 0.294229424443876, 
Time[fs], 67.000000, 49.500000, 49.000000, 
Density Sum, 21.89346227084628
X Velocity[A/fs], -0.00572835, -0.0509966, 0.0923711,  
Y Velocity[A/fs],-0.00786574, 0.154905, 0.141478,  
Z Velocity[A/fs],-0.00968922, -0.36202, 0.337132,  
Speed[A/fs],0.0137319, 0.397058, 0.377103, 

C4H10_7_5z_r23, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.30234091735301, 0.3675044140780518, 0.1239135601360971, 
Time[fs], 60.000000, 51.500000, 45.000000, 
Density Sum, 21.79375889156715
X Velocity[A/fs], 0.00282632, -0.0433821, 0.0187333,  
Y Velocity[A/fs],0.0047618, 0.142203, 0.124717,  
Z Velocity[A/fs],5.40403e-05, -0.295693, 0.391033,  
Speed[A/fs],0.00553767, 0.330965, 0.410867, 

C4H10_7_5z_r45, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 20.82139221131501, 0.1995929770373963, 0.258558445879578, 0.3220766466049296, 
Time[fs], 89.000000, 68.500000, 50.500000, 66.500000, 
Density Sum, 21.60162028083692
X Velocity[A/fs], 0.00316397, -0.270226, -0.088734, 0.144267,  
Y Velocity[A/fs],-0.00407466, -0.111827, 0.17627, 0.103779,  
Z Velocity[A/fs],0.00236787, 0.166563, -0.367065, 0.267584,  
Speed[A/fs],0.0056763, 0.336557, 0.416752, 0.321223, 

C4H10_7_5z_r18, C4H7[0][1][4][5][2][8][3][9][11][12][13], H[6], H[7], H[10], 
Densities, 20.56354449877449, 0.4896201101176957, 0.273664835269841, 0.1426555695177204, 
Time[fs], 72.500000, 72.500000, 64.500000, 55.000000, 
Density Sum, 21.46948501367974
X Velocity[A/fs], 0.00231664, -0.137596, -0.11078, 0.137666,  
Y Velocity[A/fs],0.00179943, -0.0271957, 0.110469, 0.0850867,  
Z Velocity[A/fs],-0.004063, -0.0422456, -0.265988, 0.340102,  
Speed[A/fs],0.00501126, 0.146482, 0.308586, 0.376644, 

C4H10_7_5z_r32, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.27387211636599, 0.2745668534663784, 0.08344116550027145, 
Time[fs], 58.000000, 47.000000, 43.000000, 
Density Sum, 21.63188013533264
X Velocity[A/fs], -0.00472787, -0.00928988, 0.0237293,  
Y Velocity[A/fs],0.00485226, 0.160512, 0.163349,  
Z Velocity[A/fs],0.00814136, -0.34151, 0.406912,  
Speed[A/fs],0.0105915, 0.377464, 0.439116, 

C4H10_7_5z_r14, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 20.9937534729652, 0.3095161774571763, 0.3410910585455823, 
Time[fs], 61.500000, 48.500000, 45.000000, 
Density Sum, 21.64436070896796
X Velocity[A/fs], -0.00363727, -0.024302, 0.0287855,  
Y Velocity[A/fs],0.00189322, 0.17033, 0.1504,  
Z Velocity[A/fs],0.00134936, -0.333783, 0.370958,  
Speed[A/fs],0.0043168, 0.375518, 0.401321, 

C4H10_7_5z_r50, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.15840374127433, 0.3016608560917455, 0.2095762724067623, 
Time[fs], 60.500000, 48.000000, 45.500000, 
Density Sum, 21.66964086977284
X Velocity[A/fs], 0.00247051, -0.0637991, 0.0563078,  
Y Velocity[A/fs],-0.00976617, 0.111721, 0.119131,  
Z Velocity[A/fs],-0.00225075, -0.338039, 0.389033,  
Speed[A/fs],0.0103222, 0.361694, 0.410743, 

C4H10_7_5z_r20, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.20562745668754, 0.3050591250403973, 0.1669860238181272, 
Time[fs], 63.000000, 47.000000, 47.500000, 
Density Sum, 21.67767260554606
X Velocity[A/fs], 0.00640897, -0.0385682, 0.047151,  
Y Velocity[A/fs],-0.00603248, 0.167127, 0.120059,  
Z Velocity[A/fs],0.000576605, -0.351866, 0.374461,  
Speed[A/fs],0.00882033, 0.391444, 0.396053, 

C4H10_7_5z_r35, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.33781877813425, 0.2385688776875254, 0.06902937290261134, 
Time[fs], 68.500000, 49.500000, 51.500000, 
Density Sum, 21.64541702872438
X Velocity[A/fs], -0.00590696, -0.079554, 0.0759476,  
Y Velocity[A/fs],-0.00642371, 0.112597, 0.159414,  
Z Velocity[A/fs],-0.00408045, -0.349688, 0.363507,  
Speed[A/fs],0.00963361, 0.375884, 0.404127, 

C4H10_7_5z_r31, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 20.81723022482049, 0.3653528266683987, 0.2913083014628141, 0.3278244849470922, 
Time[fs], 78.500000, 78.500000, 44.000000, 58.500000, 
Density Sum, 21.8017158378988
X Velocity[A/fs], 0.00458386, -0.140029, -0.0624409, 0.0935502,  
Y Velocity[A/fs],0.00451325, -0.0233889, 0.0544918, 0.131952,  
Z Velocity[A/fs],0.00601079, 0.00923168, -0.423999, 0.305884,  
Speed[A/fs],0.00880402, 0.142269, 0.432022, 0.346017, 

C4H10_7_5z_r16, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.54026937216059, 0.2166525393521572, 0.1929359780790267, 
Time[fs], 64.000000, 64.000000, 47.500000, 
Density Sum, 21.94985788959177
X Velocity[A/fs], 0.000639928, -0.0465956, 0.114455,  
Y Velocity[A/fs],-0.00227883, 0.176913, 0.130338,  
Z Velocity[A/fs],-0.00872507, -0.207326, 0.361051,  
Speed[A/fs],0.00904043, 0.276502, 0.400557, 

C4H10_7_5z_r44, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 21.0095379009949, 0.2502376421388354, 0.2770828716774711, 0.259120404596594, 
Time[fs], 81.500000, 67.500000, 48.500000, 60.500000, 
Density Sum, 21.7959788194078
X Velocity[A/fs], 0.00159768, -0.247694, -0.0524064, 0.121906,  
